Date,Value
2016-01-16,693089.355238
2016-01-15,743803.210499
2016-01-14,862135.539442
2016-01-13,908849.876203
2016-01-12,877866.357696
2016-01-11,877866.357696
2016-01-10,821063.240434
2016-01-09,903685.956452
2016-01-08,743604.444166
2016-01-07,702293.086157
2016-01-06,841718.919438
2016-01-05,903685.956452
2016-01-04,769424.042922
2016-01-03,707457.005908
2016-01-02,697129.166406
2016-01-01,743604.444166
2015-12-31,803647.041574
2015-12-30,706094.510516
2015-12-29,747902.738112
2015-12-28,905844.931254
2015-12-27,864036.703658
2015-12-26,622478.055323
2015-12-25,692158.434651
2015-12-24,766484.1726
2015-12-23,654995.565676
2015-12-22,715385.22776
2015-12-21,785065.607087
2015-12-20,720030.586381
2015-12-19,629152.109263
2015-12-18,625219.90858
2015-12-17,660609.714727
2015-12-16,758914.731799
2015-12-15,692067.32019
2015-12-14,585897.901751
2015-12-13,656677.514044
2015-12-12,688135.119507
2015-12-11,770711.333848
2015-12-10,695999.520873
2015-12-09,625219.90858
2015-12-08,593762.303117
2015-12-07,621791.873841
2015-12-06,621791.873841
2015-12-05,607331.597705
2015-12-04,520569.94089
2015-12-03,531415.147992
2015-12-02,694093.25452
2015-12-01,542260.355094
2015-11-30,567565.838331
2015-11-29,527800.078958
2015-11-28,538645.28606
2015-11-27,585641.183501
2015-11-26,556720.631229
2015-11-25,549490.493162
2015-11-24,523733.52314
2015-11-23,569560.206415
2015-11-22,582653.544493
2015-11-21,520460.18862
2015-11-20,458266.832747
2015-11-19,458266.832747
2015-11-18,527006.857659
2015-11-17,576106.875454
2015-11-16,474633.505345
2015-11-15,497546.846983
2015-11-14,546646.864777
2015-11-13,477906.839865
2015-11-12,579380.209973
2015-11-11,442536.702193
2015-11-10,454915.351205
2015-11-09,433252.715433
2015-11-08,504429.947255
2015-11-07,423968.728674
2015-11-06,461104.675711
2015-11-05,479672.64923
2015-11-04,488956.635989
2015-11-03,448726.026699
2015-11-02,492051.298242
2015-11-01,470388.662471
2015-10-31,507524.609508
2015-10-30,458010.013458
2015-10-29,411610.987775
2015-10-28,478195.11815
2015-10-27,460035.809866
2015-10-26,469115.464008
2015-10-25,420690.641917
2015-10-24,466088.912628
2015-10-23,475168.56677
2015-10-22,438849.950201
2015-10-21,384372.025349
2015-10-20,502407.529196
2015-10-19,432796.84744
2015-10-18,432796.84744
2015-10-17,396478.230872
2015-10-16,469115.464008
2015-10-15,493327.875054
2015-10-14,459502.348135
2015-10-13,405087.596382
2015-10-12,423225.846967
2015-10-11,453456.264607
2015-10-10,450433.222843
2015-10-09,402064.554618
2015-10-08,414156.721675
2015-10-07,408110.638146
