Date,Value
2016-10-13,1156671.17
2016-10-12,1114413.27
2016-10-11,969459.85
2016-10-10,1232591.35
2016-10-09,1311355.5
2016-10-08,1116457.9
2016-10-07,1237023.86
2016-10-06,1281294.75
2016-10-05,1206349.75
2016-10-04,1164434.0
2016-10-03,1074561.0
2016-10-02,1205132.0
2016-10-01,1084454.0
2016-09-30,1083864.35
2016-09-29,1119367.31
2016-09-28,1276511.72
2016-09-27,1165493.71
2016-09-26,1395674.25
2016-09-25,1258908.62
2016-09-24,1027531.44
2016-09-23,1051860.0
2016-09-22,1241468.76
2016-09-21,1166565.27
2016-09-20,1013869.97
2016-09-19,1112983.75
2016-09-18,1239350.12
2016-09-17,1067815.0
2016-09-16,1179081.75
2016-09-15,1197718.89
2016-09-14,1275111.83
2016-09-13,1245625.42
2016-09-12,1251012.5
2016-09-11,1217738.12
2016-09-10,1120494.37
2016-09-09,1134450.0
2016-09-08,1177623.3
2016-09-07,1044942.9
2016-09-06,1072259.87
2016-09-05,1376331.0
2016-09-04,959616.0
2016-09-03,1109403.0
2016-09-02,1008150.0
2016-09-01,970161.44
2016-08-31,1194622.05
2016-08-30,1070546.37
2016-08-29,1091820.34
2016-08-28,1024500.66
2016-08-27,953716.5
2016-08-26,940023.47
2016-08-25,1110792.9
2016-08-24,1074378.36
2016-08-23,1168789.12
2016-08-22,1182381.62
2016-08-21,1134217.5
2016-08-20,1108626.82
2016-08-19,1105741.56
2016-08-18,883763.26
2016-08-17,984960.0
2016-08-16,1035485.42
2016-08-15,1167746.39
2016-08-14,1197995.5
2016-08-13,1093307.25
2016-08-12,1115316.79
2016-08-11,1123923.75
2016-08-10,949947.25
2016-08-09,1137218.25
2016-08-08,1101643.4
2016-08-07,1232269.96
2016-08-06,1223918.39
2016-08-05,1102137.72
2016-08-04,1187784.0
2016-08-03,1174458.55
2016-08-02,1158954.11
2016-08-01,1205755.02
2016-07-31,979638.82
2016-07-30,1216861.96
2016-07-29,1126800.22
2016-07-28,1056015.09
2016-07-27,1058492.0
2016-07-26,1083868.56
2016-07-25,1044634.82
2016-07-24,1073869.3
2016-07-23,1049710.54
2016-07-22,1108239.16
2016-07-21,1253687.59
2016-07-20,1084448.36
2016-07-19,1260663.03
2016-07-18,1266649.0
2016-07-17,1302095.02
2016-07-16,1127082.34
2016-07-15,1175290.03
2016-07-14,1070321.94
2016-07-13,1213263.1
2016-07-12,1162507.11
2016-07-11,1267110.0
2016-07-10,2036093.74
2016-07-09,2401373.19
2016-07-08,2195264.88
2016-07-07,2367306.17
2016-07-06,2420500.04
2016-07-05,2555599.5
2016-07-04,2541313.4
2016-07-03,2625265.08
2016-07-02,2649743.25
2016-07-01,2538866.97
2016-06-30,2340735.09
2016-06-29,2418860.27
2016-06-28,2386530.51
2016-06-27,2297205.75
2016-06-26,2760622.54
2016-06-25,2149986.77
2016-06-24,2193393.94
2016-06-23,1909240.0
2016-06-22,2506373.5
2016-06-21,3057429.0
2016-06-20,3392968.32
2016-06-19,3016479.89
2016-06-18,2779037.6
2016-06-17,2863856.69
2016-06-16,2681772.09
2016-06-15,2277298.22
2016-06-14,2830943.5
2016-06-13,2467036.73097
2016-06-12,2364669.10434
2016-06-11,2116658.57487
2016-06-10,2410788.56682
2016-06-09,2112419.15447
2016-06-08,2169535.0617
2016-06-07,2514600.57566
2016-06-06,2479401.3901
2016-06-05,1733523.11579
2016-06-04,2047467.65164
2016-06-03,1894573.92114
2016-06-02,1972575.77046
2016-06-01,1714201.23967
2016-05-31,1934163.22268
2016-05-30,1906764.23665
2016-05-29,1764424.68141
2016-05-28,1667597.59254
2016-05-27,1575322.67973
2016-05-26,1583655.90402
2016-05-25,1663136.18974
2016-05-24,2025077.24076
2016-05-23,2033724.97348
2016-05-22,1589937.02795
2016-05-21,1666418.67319
2016-05-20,1361086.73281
