Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2004-06-08,-1.771,-1.228,-0.263,0.214,-0.089,-0.405,-0.576,-0.899,-0.296
2004-06-09,-1.939,-1.263,-0.214,0.067,-0.15,-0.379,-0.615,-1.008,-0.316
2004-06-10,-1.919,-1.235,-0.249,0.125,-0.132,-0.428,-0.601,-1.033,-0.285
2004-06-14,-1.759,-1.224,-0.15,0.029,-0.068,-0.346,-0.523,-0.958,-0.278
2004-06-15,-1.548,-1.138,-0.175,0.141,0.085,-0.461,-0.359,-0.984,-0.205
2004-06-16,-1.917,-1.225,-0.23,0.022,0.034,-0.518,-0.466,-1.181,-0.27
2004-06-17,-1.834,-1.26,-0.225,0.109,0.054,-0.512,-0.423,-1.122,-0.289
2004-06-18,-1.77,-1.244,-0.204,0.189,0.048,-0.559,-0.442,-1.05,-0.278
2004-06-21,-1.885,-1.281,-0.212,0.17,0.029,-0.591,-0.439,-1.153,-0.293
2004-06-22,-1.897,-1.304,-0.2,0.153,0.039,-0.585,-0.468,-1.124,-0.305
2004-06-23,-1.982,-1.299,-0.239,0.153,0.039,-0.636,-0.516,-1.159,-0.307
2004-06-24,-1.889,-1.271,-0.26,0.255,0.002,-0.615,-0.446,-1.145,-0.298
2004-06-25,-1.987,-1.276,-0.242,0.231,-0.06,-0.64,-0.499,-1.199,-0.289
2004-06-28,-2.036,-1.311,-0.258,0.211,-0.106,-0.572,-0.516,-1.222,-0.298
2004-06-29,-2.142,-1.287,-0.254,0.085,-0.081,-0.605,-0.564,-1.274,-0.304
2004-06-30,-1.849,-1.209,-0.155,0.157,0.007,-0.649,-0.415,-1.15,-0.284
2004-07-01,-1.924,-1.2,-0.106,0.168,-0.091,-0.695,-0.449,-1.196,-0.279
2004-07-02,-1.704,-1.146,-0.055,0.257,-0.01,-0.75,-0.3,-1.141,-0.263
2004-07-06,-1.736,-1.22,0.024,0.192,-0.072,-0.66,-0.328,-1.093,-0.315
2004-07-07,-1.66,-1.185,0.031,0.302,-0.115,-0.693,-0.347,-1.046,-0.267
2004-07-08,-1.493,-1.151,0.07,0.338,-0.105,-0.645,-0.261,-1.017,-0.215
2004-07-09,-1.433,-1.157,0.043,0.351,-0.035,-0.635,-0.241,-0.972,-0.22
2004-07-12,-1.597,-1.175,0.026,0.345,-0.061,-0.732,-0.287,-1.075,-0.235
2004-07-13,-1.775,-1.215,0.018,0.251,-0.075,-0.754,-0.339,-1.16,-0.276
2004-07-14,-1.641,-1.253,0.071,0.292,-0.034,-0.717,-0.305,-1.045,-0.291
2004-07-15,-1.729,-1.278,0.104,0.241,-0.066,-0.73,-0.32,-1.107,-0.302
2004-07-16,-1.544,-1.244,0.114,0.333,0.022,-0.769,-0.185,-1.059,-0.3
2004-07-19,-1.644,-1.338,0.124,0.315,-0.005,-0.74,-0.21,-1.087,-0.347
2004-07-20,-1.896,-1.393,0.119,0.2,-0.054,-0.768,-0.393,-1.117,-0.386
2004-07-21,-1.837,-1.358,0.127,0.125,-0.021,-0.71,-0.277,-1.2,-0.36
2004-07-22,-1.738,-1.319,0.172,0.12,-0.002,-0.709,-0.287,-1.096,-0.355
2004-07-23,-1.809,-1.338,0.221,0.006,-0.024,-0.674,-0.295,-1.143,-0.371
2004-07-26,-1.722,-1.327,0.251,0.008,-0.042,-0.612,-0.289,-1.079,-0.354
2004-07-27,-1.862,-1.336,0.213,-0.078,-0.056,-0.605,-0.366,-1.13,-0.366
2004-07-28,-1.925,-1.335,0.181,-0.076,-0.039,-0.656,-0.357,-1.196,-0.372
2004-07-29,-2.099,-1.371,0.153,-0.102,-0.094,-0.685,-0.452,-1.236,-0.411
2004-07-30,-2.458,-1.642,0.113,-0.072,-0.075,-0.782,-0.433,-1.333,-0.692
2004-08-02,-2.28,-1.567,0.124,-0.048,-0.054,-0.735,-0.384,-1.223,-0.673
2004-08-03,-2.227,-1.588,0.15,-0.026,-0.044,-0.719,-0.335,-1.222,-0.67
2004-08-04,-2.144,-1.598,0.188,-0.047,-0.043,-0.644,-0.303,-1.16,-0.681
2004-08-05,-1.995,-1.586,0.236,-0.043,-0.039,-0.563,-0.136,-1.176,-0.683
2004-08-06,-1.388,-1.502,0.354,0.13,0.057,-0.427,0.151,-0.92,-0.619
2004-08-09,-1.612,-1.567,0.373,0.115,-0.098,-0.435,-0.042,-0.917,-0.653
2004-08-10,-1.952,-1.573,0.305,0.058,-0.193,-0.549,-0.261,-1.026,-0.665
2004-08-11,-1.926,-1.577,0.32,0.039,-0.159,-0.549,-0.253,-1.0,-0.673
2004-08-12,-1.815,-1.576,0.368,0.045,-0.152,-0.5,-0.182,-0.952,-0.681
2004-08-13,-1.723,-1.582,0.406,0.151,-0.143,-0.555,-0.149,-0.885,-0.689
2004-08-16,-1.934,-1.665,0.345,0.159,-0.187,-0.586,-0.257,-0.92,-0.757
2004-08-17,-1.806,-1.604,0.33,0.17,-0.098,-0.604,-0.185,-0.927,-0.694
2004-08-18,-1.981,-1.634,0.273,0.161,-0.116,-0.665,-0.283,-0.988,-0.71
2004-08-19,-2.023,-1.651,0.259,0.184,-0.141,-0.674,-0.26,-1.036,-0.727
2004-08-20,-2.233,-1.707,0.242,0.188,-0.193,-0.763,-0.359,-1.113,-0.761
2004-08-23,-2.434,-1.755,0.212,0.077,-0.209,-0.759,-0.41,-1.242,-0.782
