"time","timeDate","close","high","low","open","volumefrom","volumeto"
1488412800000,"2017-03-02",39.7,42.9,35,41.65,5270.13,213841.35
1488499200000,"2017-03-03",41.38,42.2,37.71,39.7,3856.58,154221.69
1488585600000,"2017-03-04",41.5,43.01,35,41.38,2498.54,103283.89
1488672000000,"2017-03-05",39.4,41.5,38.83,41.5,1227.18,48850.84
1488758400000,"2017-03-06",39.49,40.03,37.67,39.4,2504.82,97730.75
1488844800000,"2017-03-07",37.83,40.63,37.4,39.49,1876.57,72138.9
1488931200000,"2017-03-08",36,37.83,34.88,37.83,2038.83,74293.52
1489017600000,"2017-03-09",36.55,37.49,34.15,36,1325.75,48187.47
1489104000000,"2017-03-10",34.4,39.01,32.01,36.55,7034.11,256172.92
1489190400000,"2017-03-11",38.91,39.44,34.4,34.4,5310.87,200869.5
1489276800000,"2017-03-12",39.14,44,37.27,38.91,4526.62,177643.87
1489363200000,"2017-03-13",48,48.99,39.14,39.14,13417.93,607970.02
1489449600000,"2017-03-14",44.03,49,42.89,48,6167.29,279976.39
1489536000000,"2017-03-15",46.3,50,43.02,44.03,7494.86,338023.05
1489622400000,"2017-03-16",47.85,53,45.01,46.3,10211.28,486222.33
1489708800000,"2017-03-17",45.02,53.01,40.1,47.85,18125.35,882290.63
1489795200000,"2017-03-18",64,80.41,45,45.02,51698.57,3492644.89
1489881600000,"2017-03-19",65.01,78.74,50,64,23621.43,1616564.07
1489968000000,"2017-03-20",71.68,78,65.01,65.01,13032.85,954374.23
1490054400000,"2017-03-21",65.04,75,63,71.68,14992.59,1017789.27
1490140800000,"2017-03-22",66.42,70.27,63.51,65.04,7023.8,468986
1490227200000,"2017-03-23",65.49,68.14,64.68,66.42,3511.45,233899.67
1490313600000,"2017-03-24",62.89,80,60.4,65.49,22567.72,1469410.31
1490400000000,"2017-03-25",61.94,66.32,61.78,62.89,8581.81,550990.11
1490486400000,"2017-03-26",58.26,63.79,58,61.94,5466.41,333844.69
1490572800000,"2017-03-27",56.42,61.2,53,58.26,7319.02,417047.51
1490659200000,"2017-03-28",63.11,74.77,52.79,56.42,24808.73,1637926.79
1490745600000,"2017-03-29",62.54,67.68,61,63.11,6795.91,430872
1490832000000,"2017-03-30",60.56,64.1,60.56,62.54,5965.18,371326.18
1490918400000,"2017-03-31",62.22,64.91,60.12,60.56,6196.49,387388.66
1491004800000,"2017-04-01",61.57,64.33,61.38,62.22,4623.09,289743.66
1491091200000,"2017-04-02",59.25,62.4,59.15,61.57,7955.3,485652.26
1491177600000,"2017-04-03",59.26,63.81,59.25,59.25,6427.11,399411
1491264000000,"2017-04-04",59.55,60.45,57.52,59.26,3864.03,228772.32
1491350400000,"2017-04-05",59.99,61.5,57.79,59.55,4332.99,256728.34
1491436800000,"2017-04-06",59.31,64,54.01,59.99,7204.06,410195.06
1491523200000,"2017-04-07",60.56,62.84,55.54,59.31,6584.63,389703.59
1491609600000,"2017-04-08",63.41,66.44,58.13,60.56,7338.82,464022.52
1491696000000,"2017-04-09",63.48,78.95,62.82,63.41,25693.52,1782439.82
1491782400000,"2017-04-10",64.86,70.24,62.53,63.48,12157.22,819678.46
1491868800000,"2017-04-11",61.78,66.64,60.03,64.86,5606.6,360161.66
1491955200000,"2017-04-12",62.32,64.86,60.93,61.78,7653.66,481568.61
1492041600000,"2017-04-13",64.13,65.01,59.28,62.32,9099.16,581592.34
1492128000000,"2017-04-14",72.09,73.51,63.28,64.13,16422.71,1141662.63
1492214400000,"2017-04-15",75.24,77.5,62,72.09,16927.21,1268771.4
1492300800000,"2017-04-16",71,75.24,70,75.24,6834.52,501897.18
1492387200000,"2017-04-17",69.66,72.35,69,71,5084.62,366417.44
