"time","timeDate","close","high","low","open","volumefrom","volumeto"
1501718400000,"2017-08-03",0.3377,0.4126,0.3173,0.3363,1050544,353729.58
1501804800000,"2017-08-04",0.3361,0.3782,0.3217,0.3377,1186180,406523.44
1501891200000,"2017-08-05",0.3658,0.38,0.3253,0.3361,1149106,406902.04
1501977600000,"2017-08-06",0.3617,0.3966,0.3431,0.3658,403758,149134.12
1502064000000,"2017-08-07",0.3528,0.381,0.3442,0.3617,1577849,566691.63
1502150400000,"2017-08-08",0.3619,0.3795,0.3504,0.3528,1152752,414795.97
1502236800000,"2017-08-09",0.3758,0.3899,0.3537,0.3619,1482665,542012.83
1502323200000,"2017-08-10",0.3616,0.3847,0.3487,0.3758,1177176,430789.7
1502409600000,"2017-08-11",0.3675,0.3718,0.34,0.3616,1208728,430420.12
1502496000000,"2017-08-12",0.3886,0.4379,0.3618,0.3675,1212661,478466.77
1502582400000,"2017-08-13",0.3752,0.44,0.2709,0.3886,1216591,445805.69
1502668800000,"2017-08-14",0.3635,0.3874,0.3416,0.3752,1211597,439405.43
1502755200000,"2017-08-15",0.3975,0.4602,0.3479,0.3635,1393135,530267.96
1502841600000,"2017-08-16",0.4008,0.4133,0.3672,0.3975,1212834,477594.79
1502928000000,"2017-08-17",0.4466,0.48,0.3716,0.4008,1410348,582727.48
1503014400000,"2017-08-18",0.4406,0.5319,0.3969,0.4466,1313018,604462.96
1503100800000,"2017-08-19",0.4617,0.4873,0.3922,0.4406,1232267,533259.83
1503187200000,"2017-08-20",0.4921,0.5084,0.4131,0.4617,1212531,560048.81
1503273600000,"2017-08-21",0.4715,0.5406,0.4269,0.4921,1206898,590472.17
1503360000000,"2017-08-22",0.4615,0.4933,0.434,0.4715,1199740,561243.54
1503446400000,"2017-08-23",0.4738,0.5041,0.4341,0.4615,1216116,574458.36
1503532800000,"2017-08-24",0.5219,0.5295,0.4522,0.4738,1267290,616363.37
1503619200000,"2017-08-25",0.5556,0.5665,0.5159,0.5219,1731066,919304.03
1503705600000,"2017-08-26",0.6343,0.6484,0.5077,0.5556,1216757,702172.76
1503792000000,"2017-08-27",0.6051,0.6555,0.57,0.6343,1237140,749906.27
1503878400000,"2017-08-28",0.6362,0.6588,0.5777,0.6051,1747418,1073080.57
1503964800000,"2017-08-29",0.6336,0.6825,0.5964,0.6362,2495059,1591370.19
1504051200000,"2017-08-30",0.6697,0.6961,0.5629,0.6336,2023950,1303533.43
1504137600000,"2017-08-31",0.6632,0.7,0.6107,0.6697,2567266,1712609.72
1504224000000,"2017-09-01",0.6927,0.7,0.633,0.6632,1312544,862031.73
1504310400000,"2017-09-02",0.6993,0.7974,0.6555,0.6927,73931,52293.3
1504396800000,"2017-09-03",0.678,0.7234,0.5644,0.6993,140208,94189.67
1504483200000,"2017-09-04",0.5825,0.6796,0.5066,0.678,93740,58562.97
1504569600000,"2017-09-05",0.6358,0.647,0.4799,0.5825,43178,23850.86
1504656000000,"2017-09-06",0.6592,0.6978,0.5967,0.6358,83234,54825.12
1504742400000,"2017-09-07",0.6795,0.7047,0.6336,0.6592,138495,92984.96
1504828800000,"2017-09-08",0.591,0.71,0.5073,0.6795,186214,118923.19
1504915200000,"2017-09-09",0.6016,0.6495,0.5566,0.591,178064,108325.33
1505001600000,"2017-09-10",0.6115,0.62,0.5379,0.6016,191802,112340.85
1505088000000,"2017-09-11",0.6176,0.62,0.5784,0.6115,137382,83601.76
1505174400000,"2017-09-12",0.6096,0.6668,0.565,0.6176,176979,109795.08
1505260800000,"2017-09-13",0.5489,0.6145,0.4614,0.6096,249277,133482.01
1505347200000,"2017-09-14",0.418,0.552,0.3818,0.5489,321005,147861.59
1505433600000,"2017-09-15",0.5288,0.5834,0.3467,0.418,203944,93352.71
1505520000000,"2017-09-16",0.535,0.5818,0.5016,0.5288,93376,49788.57
1505606400000,"2017-09-17",0.5178,0.574,0.4721,0.535,223283,117173.3
1505692800000,"2017-09-18",0.5819,0.59,0.5148,0.5178,133929,75444.92
1505779200000,"2017-09-19",0.5608,0.5882,0.5309,0.5819,142565,80475.76
1505865600000,"2017-09-20",0.5722,0.5786,0.5212,0.5608,174751,96146.94
1505952000000,"2017-09-21",0.5089,0.5788,0.4556,0.5722,237512,124479.23
1506038400000,"2017-09-22",0.4649,0.5246,0.46,0.5089,213772,102500.66
1506124800000,"2017-09-23",0.4801,0.5048,0.4369,0.4649,207984,99595.73
1506211200000,"2017-09-24",0.4746,0.5045,0.4663,0.4801,186883,90095.98
1506297600000,"2017-09-25",0.4957,0.5228,0.4708,0.4746,184429,90227.16
1506384000000,"2017-09-26",0.4934,0.5093,0.4903,0.4957,167392,83406.78
1506470400000,"2017-09-27",0.5096,0.5278,0.4843,0.4934,176919,89556.74
1506556800000,"2017-09-28",0.497,0.5346,0.4758,0.5096,190576,96342.91
1506643200000,"2017-09-29",0.4873,0.5084,0.4265,0.497,240061,114813.69
1506729600000,"2017-09-30",0.4881,0.506,0.4758,0.4873,177812,87185.29
1506816000000,"2017-10-01",0.4646,0.4946,0.457,0.4881,194140,92687.89
1506902400000,"2017-10-02",0.4526,0.4947,0.449,0.4646,214761,99011.55
1506988800000,"2017-10-03",0.4498,0.493,0.44,0.4526,338823,155481.18
1507075200000,"2017-10-04",0.4499,0.5,0.4107,0.4498,445724,207323.8
1507161600000,"2017-10-05",0.4406,0.4554,0.425,0.4499,319503,141426.37
1507248000000,"2017-10-06",0.461,0.473,0.3767,0.4406,445122,203721.63
1507334400000,"2017-10-07",0.4585,0.4724,0.4301,0.461,430155,194736.48
1507420800000,"2017-10-08",0.418,0.4644,0.39,0.4585,445654,196355.34
1507507200000,"2017-10-09",0.4009,0.4453,0.3863,0.418,506509,211361.21
1507593600000,"2017-10-10",0.4066,0.4291,0.3808,0.4009,581701,234671.94
1507680000000,"2017-10-11",0.4033,0.4248,0.3805,0.4066,685175,276628.24
1507766400000,"2017-10-12",0.3865,0.4135,0.3656,0.4033,550965,216936.83
1507852800000,"2017-10-13",0.3853,0.4181,0.345,0.3865,675081,255440.46
1507939200000,"2017-10-14",0.3891,0.4163,0.3705,0.3853,524195,206031.78
1508025600000,"2017-10-15",0.387,0.4017,0.358,0.3891,509640,195702.45
1508112000000,"2017-10-16",0.4105,0.4303,0.3817,0.387,404698,164996.42
1508198400000,"2017-10-17",0.3941,0.4199,0.379,0.4076,425659,169762.48
1508284800000,"2017-10-18",0.3944,0.405,0.3607,0.3968,544237,209250.9
1508371200000,"2017-10-19",0.3633,0.403,0.358,0.3895,489304,188627.57
1508457600000,"2017-10-20",0.3605,0.4036,0.3536,0.3763,533434,198937.82
1508544000000,"2017-10-21",0.3386,0.3759,0.302,0.3605,812611,278279.69
1508630400000,"2017-10-22",0.3412,0.3563,0.3253,0.3457,507882,174714.99
1508716800000,"2017-10-23",0.3243,0.3524,0.3118,0.3368,537405,178548.95
1508803200000,"2017-10-24",0.3634,0.3893,0.3107,0.3195,847183,305246.72
1508889600000,"2017-10-25",0.3599,0.3731,0.321,0.353,760646,263884.71
1508976000000,"2017-10-26",0.3487,0.3769,0.3311,0.3595,627195,221495.36
1509062400000,"2017-10-27",0.3436,0.3602,0.3326,0.3487,537413,185799.65
1509148800000,"2017-10-28",0.3475,0.3549,0.3317,0.3425,457039,157442.31
1509235200000,"2017-10-29",0.3574,0.3737,0.3422,0.3502,1687616,608527.87
1509321600000,"2017-10-30",0.3581,0.3694,0.3429,0.3625,409708,147631.26
1509408000000,"2017-10-31",0.3852,0.3896,0.3553,0.3581,189142,70453.64
1509494400000,"2017-11-01",0.3719,0.4046,0.3394,0.3873,256740,96011.69
1509580800000,"2017-11-02",0.3363,0.3794,0.27,0.3783,268842,88081.92
1509667200000,"2017-11-03",0.3235,0.3458,0.3015,0.3306,252924,82609.58
1509753600000,"2017-11-04",0.3245,0.3458,0.3028,0.3239,215122,70192.32
1509840000000,"2017-11-05",0.3268,0.4,0.323,0.3329,265207,90933.68
1509926400000,"2017-11-06",0.3509,0.3799,0.32,0.3272,278651,94170.4
1510012800000,"2017-11-07",0.3789,0.3883,0.3421,0.3489,240198,88113.19
1510099200000,"2017-11-08",0.4474,0.45,0.3697,0.3742,270768,109822.4
1510185600000,"2017-11-09",0.4638,0.506,0.4291,0.4436,174797,82724.04
1510272000000,"2017-11-10",0.4176,0.4701,0.39,0.4671,246688,109311.26
1510358400000,"2017-11-11",0.3957,0.4343,0.3635,0.417,183570,74325.62
1510444800000,"2017-11-12",0.3884,0.4255,0.3509,0.4023,196711,76241.17
1510531200000,"2017-11-13",0.4012,0.4306,0.376,0.3896,140485,57027.98
1510617600000,"2017-11-14",0.4082,0.419,0.3795,0.3979,194123,78335.66
1510704000000,"2017-11-15",0.4017,0.4276,0.3889,0.402,250130,102569.67
1510790400000,"2017-11-16",0.3917,0.4255,0.3906,0.3976,193357,79026.11
1510876800000,"2017-11-17",0.3736,0.4,0.3604,0.3917,202619,77469.89
1510963200000,"2017-11-18",0.3904,0.41,0.3699,0.3785,264905,104412.88
1511049600000,"2017-11-19",0.4014,0.4162,0.3828,0.3961,242080,96667.68
1511136000000,"2017-11-20",0.388,0.404,0.38,0.3918,217971,85461.74
1511222400000,"2017-11-21",0.4117,0.4155,0.37,0.3891,192993,76030.63
1511308800000,"2017-11-22",0.4238,0.45,0.4058,0.412,184749,78605.9
1511395200000,"2017-11-23",0.4625,0.4745,0.4048,0.4219,191315,85734.86
1511481600000,"2017-11-24",0.4533,0.4838,0.4319,0.4592,130835,59370.9
1511568000000,"2017-11-25",0.4788,0.4819,0.4448,0.4542,128190,59475.89
1511654400000,"2017-11-26",0.4536,0.4909,0.44,0.4781,198735,93157.82
1511740800000,"2017-11-27",0.4966,0.5,0.4486,0.4529,147695,70692.96
1511827200000,"2017-11-28",0.5523,0.5689,0.4814,0.4969,175073,89672.91
1511913600000,"2017-11-29",0.4567,0.5695,0.4136,0.5545,182782,94130.52
1512000000000,"2017-11-30",0.4692,0.529,0.4108,0.4588,108016,49578.59
1512086400000,"2017-12-01",0.493,0.5196,0.4406,0.4688,122710,59535.02
1512172800000,"2017-12-02",0.5009,0.5369,0.4757,0.495,92947,46646.13
1512259200000,"2017-12-03",0.5317,0.58,0.4936,0.4988,149331,80189.66
1512345600000,"2017-12-04",0.5807,0.5941,0.523,0.5331,105423,59121.06
1512432000000,"2017-12-05",0.6237,0.66,0.5638,0.5797,114834,69216.71
1512518400000,"2017-12-06",0.5397,0.6432,0.4946,0.619,126347,73531.05
1512604800000,"2017-12-07",0.487,0.59,0.451,0.5461,145894,75739.54
1512691200000,"2017-12-08",0.5029,0.5315,0.396,0.4836,136274,63212.2
1512777600000,"2017-12-09",0.4703,0.5212,0.4455,0.5013,145742,70331.26
1512864000000,"2017-12-10",0.4303,0.4819,0.3893,0.4798,131228,56658.48
1512950400000,"2017-12-11",0.4434,0.494,0.3997,0.4304,166880,75575.72
1513036800000,"2017-12-12",0.5131,0.555,0.4236,0.4466,155937,78598.81
1513123200000,"2017-12-13",0.4979,0.551,0.41,0.5152,228655,113778.29
1513209600000,"2017-12-14",0.4586,0.5223,0.42,0.4979,147435,69342.15
1513296000000,"2017-12-15",0.4871,0.5,0.423,0.4586,241636,110007.24
1513382400000,"2017-12-16",0.4439,0.5007,0.4323,0.4931,271955,126920.86
1513468800000,"2017-12-17",0.5866,0.621,0.441,0.4534,202663,103382.53
1513555200000,"2017-12-18",0.7301,0.75,0.5624,0.5882,165656,110069.24
1513641600000,"2017-12-19",0.6901,0.8367,0.6259,0.7252,191990,139358.41
1513728000000,"2017-12-20",0.7637,0.81,0.5424,0.6903,141503,97322.99
1513814400000,"2017-12-21",0.7997,0.8368,0.7041,0.7637,100824,78063.13
